Word,BestWordListResult,RandomWordListResult,AUDIOThenRandomWordsResult,AUDIOThenBestWordsResult
kudzu,4,4.8,3.4,5
tilde,3,4.2,4.0,4
regma,5,4.4,4.8,5
brier,5,5.2,6.8,6
easts,3,6.0,7.4,4
outby,4,5.0,3.8,4
juice,4,5.0,4.2,5
plaza,5,5.2,5.6,5
minds,4,6.4,4.8,5
mucus,4,4.8,4.8,5
plops,6,6.6,5.8,6
droop,4,4.6,4.4,5
acidy,3,4.8,3.4,4
blare,5,5.4,5.4,5
deles,6,5.2,5.2,4
avast,5,4.8,5.0,4
thyme,3,5.0,4.2,4
pryer,6,4.8,5.0,4
torot,3,5.2,4.8,4
traik,5,5.0,4.4,6
lyard,4,4.8,4.6,4
doits,2,6.6,4.6,2
grids,5,5.2,4.8,4
sumos,4,4.6,5.0,4
barms,6,6.6,7.2,5
regna,5,4.0,5.4,5
atopy,5,4.2,5.0,4
prest,6,5.6,4.8,5
toyer,4,4.8,5.2,5
stood,6,4.6,4.4,5
techs,5,6.6,4.8,4
bevor,6,3.6,4.4,7
smush,5,4.4,5.0,4
facts,5,6.2,5.8,5
talls,3,5.4,7.4,6
guars,4,5.0,4.4,3
cabby,5,4.4,6.0,5
lores,2,5.4,7.0,3
drama,5,5.4,5.6,6
toyed,3,5.2,5.2,6
waxed,9,6.8,7.2,10
grume,4,4.4,4.8,5
varna,5,4.6,4.6,4
board,5,4.8,4.4,3
mylar,5,3.6,4.6,4
ossia,6,4.4,3.2,6
blocs,3,5.8,5.8,7
belch,4,4.8,4.6,3
viola,3,4.2,4.8,5
tushy,3,4.6,3.4,4
ogler,4,5.0,5.4,5
aglet,3,4.4,4.8,4
prahu,5,4.6,4.6,4
vizor,5,5.2,5.2,5
yeses,6,6.8,5.4,3
zerks,9,6.8,7.6,8
redox,8,3.6,4.2,4
creds,4,5.2,4.8,4
teddy,4,5.0,3.8,4
jokes,8,5.8,7.8,7
north,3,5.4,5.8,4
clads,4,6.8,5.0,5
meows,5,5.0,6.0,5
xylyl,4,4.2,3.8,4
bears,6,4.6,7.2,6
metal,5,4.6,5.4,5
whins,5,5.8,5.0,5
chasm,5,4.4,5.2,4
rials,3,5.2,4.8,3
sober,3,4.6,5.2,4
whity,4,4.6,5.0,4
eagle,6,5.2,5.6,6
exing,7,6.0,6.2,7
metol,5,5.0,5.8,5
plant,4,5.0,5.2,4
waded,10,6.6,5.0,6
jocko,6,5.2,4.6,4
mosks,7,6.4,5.2,5
saris,5,5.8,5.8,5
pried,4,4.6,6.6,5
soggy,5,5.0,6.6,5
firms,6,5.0,5.6,6
omens,4,4.8,5.8,5
hikes,7,8.0,6.0,7
bemix,5,4.8,5.2,5
barbs,8,6.6,7.0,8
dines,3,6.6,5.8,3
kefir,6,5.0,5.0,5
loral,4,6.0,5.4,4
yetis,6,6.6,4.0,5
currs,7,5.4,6.0,6
lahar,4,4.0,5.6,5
actin,5,5.0,3.8,4
riant,3,5.4,4.4,4
alary,6,5.4,5.0,3
kopje,4,5.4,4.4,5
sunns,6,5.0,5.6,6
tokes,6,5.2,6.6,7
ayins,4,3.6,4.4,4
gully,6,4.8,5.0,7
jalap,6,5.0,4.8,6
dizzy,7,6.8,6.0,8
dumas,4,5.6,3.4,3
yowes,7,7.8,6.6,7
axion,6,5.6,3.2,4
swept,5,4.2,5.2,4
kails,8,6.2,8.4,10
plane,3,5.0,4.4,4
anode,4,4.8,3.4,3
alarm,5,4.4,4.6,4
garth,3,4.4,4.8,4
rhyta,4,4.0,4.8,5
tikes,6,6.6,6.4,6
ratal,4,4.8,5.4,4
hijab,5,4.4,4.2,5
stets,7,6.2,4.6,9
gulfy,5,3.6,4.0,6
trooz,4,4.8,4.6,7
objet,4,4.6,5.2,5
welds,6,5.6,5.0,5
freed,8,6.4,6.4,8
anile,3,4.6,4.4,4
reink,5,4.2,4.8,4
vogie,7,5.0,4.4,7
cento,4,4.8,4.2,4
tinea,2,4.0,4.2,3
squeg,4,4.4,4.6,3
gaudy,4,4.4,4.0,6
baffs,7,7.0,6.0,7
knows,6,5.2,6.0,6
krill,8,5.2,5.8,7
maned,5,5.0,6.6,7
krubi,4,3.6,4.4,5
enemy,5,4.6,4.6,6
tophe,4,4.6,5.0,3
enoki,4,4.8,4.6,5
firer,5,6.2,6.6,5
groin,4,4.6,4.6,4
situp,3,4.2,4.0,4
saned,2,6.4,5.6,3
caird,4,4.0,5.0,4
dales,3,5.4,5.2,3
heavy,5,5.0,5.0,6
pshaw,4,5.0,6.6,4
enjoy,5,4.2,6.0,7
chive,5,5.0,4.6,5
djinn,3,4.8,4.4,4
yupon,3,4.4,4.2,4
nulls,6,6.6,7.6,7
tumps,4,6.6,6.0,4
inert,4,6.0,4.4,5
gamer,4,7.0,6.0,5
skied,5,4.6,4.8,6
elver,7,4.8,5.0,5
nancy,5,5.6,5.8,5
yogis,4,4.8,4.8,5
hilly,5,5.6,5.0,6
saiga,4,6.4,5.4,5
deets,5,5.0,6.2,5
blype,4,4.4,4.6,4
demon,4,5.0,5.2,4
lysed,4,5.0,4.4,3
dynel,3,4.6,4.2,3
shone,3,5.8,5.8,4
punji,5,4.8,3.6,4
meter,6,4.8,5.0,5
paean,4,4.8,5.2,4
jibbs,8,7.2,6.2,7
swirl,5,4.4,4.8,5
tutus,6,6.0,5.8,6
sower,4,5.4,6.6,5
biker,5,4.4,6.4,5
ducat,3,4.6,4.2,3
divvy,6,5.0,6.0,7
dekes,6,4.8,5.4,5
riots,3,6.0,4.4,3
whats,7,5.2,6.2,9
taxis,5,5.8,5.0,5
grues,4,5.0,4.2,3
clans,3,5.0,6.2,4
fleam,7,5.0,5.8,7
pekoe,4,5.2,4.4,6
lingy,3,4.6,5.6,3
bothy,4,4.4,5.6,4
vacua,6,5.0,5.0,5
lards,3,6.6,4.6,5
tamis,3,4.0,5.4,3
yawns,6,5.2,6.0,6
prong,4,4.6,4.6,4
fugus,5,5.2,5.2,6
cyber,5,4.6,5.6,3
sices,7,7.4,6.2,7
velds,7,5.2,5.4,6
bitts,6,5.0,5.8,6
exams,7,5.0,5.4,6
fumet,5,5.4,4.2,4
kaput,5,4.8,3.6,6
eclat,5,5.0,5.4,5
kalif,5,4.6,4.8,4
broos,7,6.0,6.8,7
hanks,6,6.8,7.0,6
marks,7,6.2,5.8,6
furze,5,5.6,5.4,6
gavot,5,5.2,5.0,6
swive,6,4.6,5.4,7
cheth,5,4.8,4.2,4
clean,6,4.8,5.0,4
mensa,5,6.2,5.4,5
peeps,5,6.0,6.2,8
laser,4,6.0,5.8,5
ivied,5,5.2,7.0,4
rains,3,5.4,5.2,3
akene,4,5.0,4.4,5
skags,5,5.6,6.6,6
gluey,5,5.2,5.2,4
dared,11,6.2,7.0,4
ruddy,5,4.8,4.6,4
lathy,3,5.0,4.6,7
rerun,4,4.8,4.4,5
quais,4,6.0,3.4,2
kevil,7,4.6,4.8,5
smerk,6,5.0,5.0,4
testy,5,5.8,4.2,3
wells,4,9.8,6.2,9
razee,8,6.8,6.0,9
oiler,3,4.6,4.6,3
froze,7,4.6,5.0,7
fours,5,3.8,5.2,7
polos,5,5.6,6.6,5
groom,5,5.2,4.4,6
hunks,5,5.8,6.2,6
roues,3,6.4,5.4,2
thaws,4,5.2,5.0,6
dishy,3,4.6,5.2,4
slays,7,5.2,6.8,7
pause,5,4.8,4.6,5
gelds,5,5.8,5.4,4
eyrir,8,6.6,4.2,5
barfs,5,6.4,8.0,7
miser,5,5.2,5.2,5
dunks,5,6.2,4.4,5
gnome,4,4.2,5.2,4
feuds,4,4.8,4.4,3
grain,5,4.0,4.4,6
atria,5,5.0,5.4,4
blend,3,5.0,5.6,4
growl,5,4.4,4.8,5
ofter,4,5.2,5.8,5
snash,6,4.8,5.0,6
armer,5,6.2,5.0,4
rawly,3,5.0,5.0,4
tower,6,5.2,7.6,7
aalii,6,5.0,4.8,5
edile,5,4.2,5.8,5
alant,4,5.8,4.2,4
ridge,4,4.4,3.2,3
myoid,4,4.4,6.4,5
poets,2,6.4,6.0,3
savvy,7,5.6,5.8,8
saint,2,5.2,4.8,4
saugh,5,4.0,5.6,5
wynds,4,5.2,3.4,4
plena,5,4.2,5.6,5
campy,4,4.4,4.6,4
damns,4,5.6,4.0,3
steps,3,5.8,4.6,9
sills,4,8.8,6.8,5
sitar,2,4.0,4.8,4
refel,7,5.0,4.8,5
recto,3,5.2,3.6,3
dooly,3,4.4,5.6,3
waver,8,5.6,8.4,9
dawts,6,5.6,4.2,5
robot,3,4.8,5.0,6
heres,8,7.2,6.2,7
byres,6,5.2,6.6,5
mysid,4,4.0,3.8,3
duals,4,5.6,3.8,3
jewed,7,5.0,5.2,8
woful,5,3.8,4.6,5
sangh,4,5.0,5.4,4
owsen,4,4.2,5.4,5
chapt,4,3.8,5.2,5
newts,5,5.4,5.2,5
skimp,5,4.0,5.4,5
manta,4,4.4,5.0,4
cheek,5,4.8,4.6,5
laxly,7,5.0,7.2,7
harsh,6,3.8,6.0,5
timer,4,5.6,5.4,4
knock,4,4.4,4.6,4
reach,4,4.2,5.8,4
await,4,5.0,3.8,6
spays,6,5.0,6.0,7
primp,5,4.8,6.4,5
wynns,4,4.0,4.0,4
drave,6,6.8,5.8,6
leans,3,6.0,6.4,3
froes,3,5.4,5.6,7
rimed,4,4.8,4.4,6
blaws,7,5.2,5.0,6
hemal,4,3.6,6.2,5
wrang,5,5.0,4.6,6
haunt,6,5.8,4.4,4
betel,3,5.4,5.0,4
gawks,6,5.6,6.6,5
often,4,4.6,6.0,5
coned,3,6.4,8.4,4
urbia,5,4.2,2.6,3
inter,4,4.4,6.0,6
loved,6,5.4,6.8,6
paced,4,7.0,8.2,5
leets,5,8.0,6.4,5
sapor,3,4.8,4.8,5
leges,6,4.6,5.8,6
stilt,4,6.4,4.8,5
petal,4,5.4,5.6,4
chugs,4,5.4,5.6,4
rugae,5,4.6,3.6,3
cunts,4,4.6,5.8,3
harry,6,6.2,6.8,7
koine,3,4.6,5.6,4
surds,6,6.0,5.8,8
druse,5,4.4,3.6,4
spaes,7,5.4,5.0,7
stork,4,4.2,5.8,5
jomon,5,5.4,4.6,5
mitis,6,5.6,4.6,5
grogs,8,6.4,7.0,8
peach,4,5.0,5.6,4
hefty,4,4.0,4.4,4
cheap,4,5.2,5.4,6
grosz,6,5.2,5.6,5
coypu,4,3.4,5.0,4
jaded,10,7.0,4.6,7
semen,4,4.6,5.2,4
chaws,8,5.0,6.4,6
pangs,3,6.2,6.4,4
tiles,3,5.6,6.0,3
hooka,5,5.6,4.8,5
sewar,6,5.0,6.0,8
mowed,5,5.6,7.0,6
tinny,3,5.0,5.8,3
chick,5,4.8,5.6,5
phpht,3,4.0,3.6,3
culms,3,4.0,5.4,4
hippo,4,4.6,4.6,5
flaky,5,4.6,5.8,5
colon,4,4.6,5.4,4
drift,4,4.6,5.8,5
zonae,3,5.6,4.6,4
tanga,4,6.2,4.4,4
yeast,9,5.2,6.8,9
soddy,3,5.4,3.8,3
pooed,6,6.2,6.4,8
annex,4,4.8,5.2,4
coops,5,5.6,5.2,5
limen,3,4.4,6.2,4
shaul,4,4.8,4.0,4
thigh,5,4.6,4.8,6
halva,6,5.6,4.8,7
pikis,5,4.8,4.6,5
sloyd,4,4.2,5.6,4
moire,2,4.4,4.4,3
serif,4,4.8,4.4,4
macks,5,6.0,6.4,4
falls,8,6.4,6.8,9
tungs,3,4.6,5.8,4
tyros,3,5.0,4.6,4
swash,6,4.6,5.2,6
spate,3,5.4,7.4,4
dummy,6,5.6,5.4,6
roust,3,4.4,4.2,3
rakus,5,5.2,5.8,5
faded,10,6.4,6.0,5
junky,7,5.0,6.6,7
manos,3,5.8,5.6,5
barns,5,6.0,5.0,4
exist,10,5.2,5.6,10
daven,5,4.6,5.4,4
shads,5,4.6,4.2,5
apace,5,4.4,6.0,4
yourn,3,4.8,5.2,4
setae,4,4.0,6.0,9
jumbo,5,5.4,3.4,4
gaurs,4,5.6,4.6,3
heths,8,6.2,6.4,6
ochre,4,4.2,5.2,5
brume,3,4.6,4.4,4
built,3,4.4,4.2,4
dhuti,4,3.8,2.4,3
beano,4,4.2,4.2,3
jolly,5,6.2,6.4,5
penes,4,5.2,6.0,6
fends,6,7.2,5.2,7
clods,4,4.6,5.2,4
speir,4,4.6,4.0,3
solus,8,6.0,4.8,5
syren,4,4.4,5.4,3
tyees,7,5.8,5.2,6
kavas,6,5.6,6.0,6
malmy,6,5.4,5.0,4
windy,3,4.6,5.8,4
softy,3,4.6,5.4,3
nooks,9,6.2,7.2,5
coups,4,4.0,5.6,4
reeds,4,7.6,6.0,4
senti,3,4.4,5.4,4
swink,5,4.2,5.2,5
battu,4,4.6,5.4,5
merge,6,6.4,5.2,5
aunty,3,4.8,4.2,3
faery,5,4.2,4.6,4
elans,4,5.4,5.2,4
swale,6,4.4,6.0,7
rotls,3,4.8,5.2,3
vicar,5,4.2,4.2,5
resat,3,4.4,5.4,4
vakil,6,5.2,5.2,5
frise,6,3.8,4.4,5
pechs,5,4.4,5.0,4
rugby,3,5.2,5.8,4
tools,3,6.0,4.8,6
saury,2,5.4,4.6,3
ology,4,4.4,5.8,5
eikon,4,4.2,4.8,4
nabob,5,5.2,5.0,6
block,4,4.6,5.4,4
snout,4,5.0,6.6,4
gravy,7,5.4,6.8,6
penny,4,5.6,6.0,4
gilds,5,6.0,5.4,5
chirk,6,6.2,5.8,5
swank,6,5.4,5.0,6
beach,4,4.4,4.8,5
usual,4,5.2,4.2,4
crura,5,4.6,4.2,4
agios,4,5.0,3.2,2
aloft,6,5.2,4.6,4
picas,3,4.6,5.8,5
humic,4,4.6,4.0,5
primi,5,5.2,6.2,5
kibbe,5,5.0,4.8,5
civvy,6,4.8,5.0,5
limns,4,5.4,4.8,3
clink,3,4.2,5.0,4
waive,5,5.2,5.0,4
cobra,5,5.2,5.0,6
tided,5,7.4,3.8,4
gawps,6,5.6,5.4,5
flong,4,5.6,5.2,5
dhobi,5,4.8,4.2,5
paste,4,5.6,5.6,4
blini,5,5.4,5.2,5
scrub,6,5.0,5.4,6
rebut,4,4.8,5.0,4
panga,4,5.0,5.2,5
holly,8,5.8,7.2,6
nudie,3,5.0,2.8,2
coats,2,5.6,5.2,4
proms,4,7.6,5.4,5
earth,3,6.2,4.6,4
scuta,4,4.8,4.4,4
lofty,4,4.0,6.6,4
pyres,5,5.0,5.4,4
oorie,5,4.2,5.8,4
bungs,4,5.2,6.2,5
times,5,5.6,5.0,5
psalm,5,4.2,4.8,6
stank,4,4.4,6.4,5
drear,6,5.4,5.4,7
kamik,5,4.6,5.0,6
denar,3,6.4,6.0,4
couth,4,4.4,4.6,4
laked,6,7.0,6.8,7
suers,5,4.4,5.6,3
kloof,4,4.8,4.6,4
butyl,4,4.4,4.6,4
input,3,4.2,3.8,4
shuns,4,4.6,4.6,5
toney,2,5.2,5.6,3
besot,5,5.4,5.4,5
bases,8,7.6,6.8,7
zones,7,7.8,6.4,8
hocks,8,5.6,7.4,6
sloes,4,5.4,6.6,10
doped,6,5.8,5.4,5
busts,4,6.4,6.4,4
hurry,7,5.4,5.6,9
super,4,5.8,5.2,3
peres,6,6.2,6.0,5
mezzo,5,5.8,4.8,5
benes,5,5.6,6.8,6
while,5,4.2,4.8,4
thorp,4,5.0,4.6,4
begun,4,5.2,4.2,4
until,5,4.8,4.4,5
slews,8,5.4,5.4,6
slide,3,4.4,4.4,3
skimo,4,4.4,4.8,4
loupe,3,4.8,5.0,4
swigs,5,4.6,5.2,5
slued,3,5.8,4.4,3
pulik,4,4.8,4.0,3
knurl,4,4.0,3.8,4
duets,4,5.0,4.2,3
crest,4,5.2,4.4,4
qursh,4,4.4,5.4,5
cutie,3,3.4,4.4,3
suits,7,5.6,4.0,5
rhomb,3,4.4,4.6,5
unite,4,4.4,3.6,4
bocci,4,4.6,4.2,5
gears,7,6.4,8.6,7
ixias,6,5.8,6.6,6
molal,5,5.2,6.0,5
range,4,5.2,6.4,4
flute,4,4.4,5.2,4
faker,6,5.4,8.0,7
quoit,5,4.6,2.8,3
newly,4,3.6,4.6,4
cuddy,4,5.2,5.8,5
feaze,6,5.8,5.0,6
ghaut,5,4.2,3.4,6
sprug,4,4.2,4.0,5
jolty,5,5.6,7.0,5
gelid,3,5.2,4.4,3
kerfs,8,6.6,4.4,7
kauri,4,4.6,3.6,3
wifes,8,6.4,6.2,8
prise,6,4.6,5.0,4
tythe,4,4.6,4.8,3
dogey,5,5.4,7.6,5
shift,4,3.6,4.8,5
cools,4,5.6,7.0,7
haled,5,4.8,6.6,7
nappy,5,4.8,5.8,5
bawls,6,6.2,6.0,6
spale,5,4.8,4.8,6
limbo,4,4.4,4.2,5
route,2,4.6,4.8,3
craps,5,6.6,6.0,5
ravin,5,5.4,5.4,5
talcs,4,5.0,5.6,3
gloat,4,5.6,4.0,5
bidis,5,4.8,2.8,3
pappi,4,5.0,6.4,6
loxed,7,6.4,6.8,7
reave,5,4.8,6.0,5
ephas,8,4.8,6.0,6
water,10,7.0,7.2,9
imine,4,4.8,5.6,5
genre,4,3.8,5.4,4
ohing,4,5.0,5.4,5
pikas,5,6.2,5.6,5
eloin,4,4.0,4.2,3
turbo,3,4.4,3.0,3
yucky,5,4.8,5.0,5
yonis,3,4.8,4.4,4
mercs,3,5.8,6.4,4
adage,6,4.6,3.8,4
peter,5,5.8,4.6,4
borty,3,5.2,4.8,3
dacha,4,4.4,4.8,5
wreck,5,4.8,4.2,4
doffs,6,6.6,4.8,8
braza,7,5.2,5.2,7
plead,5,5.4,5.0,5
mooed,7,6.6,4.8,8
gunky,4,4.4,5.0,4
vests,10,8.6,8.2,10
savoy,3,5.0,4.8,5
asana,5,4.8,4.4,4
coffs,9,6.2,7.2,7
pitta,4,5.0,4.8,4
duads,5,5.8,3.0,4
mille,5,4.6,4.8,4
beaut,3,4.6,4.0,5
yucch,4,5.0,4.2,4
sinus,4,6.0,3.8,4
sexts,7,6.0,7.0,8
wavey,5,6.0,6.0,6
rayed,4,7.2,7.2,6
buoys,4,5.6,6.0,4
cheat,4,5.4,6.0,5
shool,5,4.8,6.2,5
cecal,6,5.4,5.8,8
copra,3,4.8,5.6,5
smote,4,5.6,6.4,6
ramie,2,4.8,4.4,3
hoagy,3,5.2,5.2,5
troys,4,5.4,6.0,4
chyle,3,4.4,4.4,5
occur,5,4.4,4.6,5
karns,7,5.4,5.6,6
loads,4,6.2,4.2,4
noris,3,5.2,4.4,3
yoked,4,5.6,7.8,8
cover,8,5.2,6.6,8
covet,4,5.2,5.0,5
briny,3,5.2,6.0,3
raggs,8,6.6,7.0,7
clogs,6,6.0,6.6,4
flaps,4,7.0,5.0,5
plink,4,4.2,5.0,5
fiber,6,7.4,6.6,6
alter,2,5.2,4.2,3
coles,2,7.2,8.0,3
ileal,6,5.0,5.4,6
gores,7,7.8,7.0,8
boron,4,4.6,4.8,4
gutsy,8,4.8,4.0,5
waged,5,5.8,6.2,7
lover,5,5.4,6.0,6
leary,3,5.0,5.2,3
forge,6,4.2,4.6,6
tasks,7,6.2,6.2,6
claro,3,5.0,4.2,5
kinas,5,4.6,4.2,6
kheth,6,5.8,5.4,5
baboo,4,6.0,5.2,5
given,5,4.6,5.0,5
stirp,3,4.4,4.6,5
preps,6,7.0,6.2,6
curfs,6,5.0,6.8,5
lalls,9,7.8,7.0,10
gambs,5,6.4,5.4,5
enzym,4,5.4,4.6,5
botel,4,5.4,4.2,4
lathe,3,4.6,5.6,4
dives,6,6.2,3.8,8
antis,4,4.4,4.6,4
yauds,6,5.2,5.2,7
tufts,7,5.8,5.6,6
neuks,6,5.8,4.6,4
yaups,5,6.6,4.8,5
hitch,8,5.0,5.2,8
steel,4,5.6,5.8,4
manor,3,5.6,5.2,4
mines,6,7.2,7.4,7
amity,4,4.2,4.4,3
ceded,5,4.8,5.2,4
compo,4,5.4,4.0,4
algal,5,5.6,5.6,5
rites,3,4.2,6.4,3
boast,4,5.2,4.8,5
limit,4,3.6,4.6,4
drink,4,4.2,4.8,5
puffy,6,5.6,5.6,6
ulans,5,5.2,4.6,3
cause,3,4.8,4.6,5
siver,4,6.2,5.6,4
organ,5,5.2,5.4,7
heats,6,5.0,5.8,7
rykes,5,5.4,4.6,3
vanes,10,7.6,8.0,11
curio,3,4.4,2.6,2
poufs,4,5.0,5.0,5
fauld,4,4.6,3.8,5
dungy,3,5.0,4.4,3
tarts,5,6.2,8.0,5
stray,3,4.4,5.6,3
agora,5,4.4,4.8,5
gaper,4,5.8,7.4,5
kilos,6,4.8,6.2,6
valor,4,4.4,6.2,8
viper,6,5.2,5.4,7
level,6,4.8,5.6,5
phyla,3,4.6,5.0,4
stews,9,6.2,5.6,7
bight,4,3.8,5.6,5
totes,7,5.4,6.8,8
bazoo,5,4.8,5.2,6
jammy,6,6.6,5.8,7
idyls,3,6.0,4.6,5
raser,7,6.2,5.4,8
fungo,5,4.4,4.0,4
spode,3,4.8,4.4,4
swaps,5,5.4,6.6,7
mopes,5,4.4,6.0,5
vents,8,7.4,6.6,7
micks,6,4.6,5.2,4
veals,8,4.8,7.2,8
dewar,5,6.0,4.6,6
ennui,7,5.0,4.0,6
deist,6,4.6,4.6,3
swang,5,5.4,6.0,5
crust,4,4.8,4.8,3
baggy,4,6.0,6.6,6
perse,5,5.2,5.2,4
zoons,9,7.2,7.4,10
seedy,4,4.0,4.6,4
piste,3,4.6,5.0,3
flits,3,4.6,5.8,9
cirri,3,4.6,4.6,5
pelon,4,5.0,5.4,6
gowan,5,5.2,4.4,5
dotty,4,5.8,7.2,4
house,7,5.8,5.2,7
calyx,4,4.8,5.8,4
wader,6,6.0,4.6,5
japan,4,4.8,5.0,5
grips,5,4.6,5.4,5
spasm,6,4.8,5.0,4
noble,5,4.4,4.4,4
pigmy,4,3.6,5.2,4
proso,6,5.4,4.0,3
lamps,3,4.4,4.6,4
moory,5,4.6,5.8,4
bleep,4,4.8,4.0,5
buffi,4,5.0,4.6,6
sooey,4,5.2,5.0,7
avian,4,4.2,4.4,5
blets,4,5.6,6.0,4
chivy,4,4.6,6.2,5
clipt,3,4.8,5.0,4
value,4,5.0,4.4,4
cusec,6,3.8,4.6,4
slype,4,5.0,4.6,3
phony,3,5.2,4.8,5
diene,4,5.2,4.6,5
image,3,4.6,5.0,6
abmho,5,4.8,2.8,4
shall,4,6.4,5.4,6
numbs,4,4.8,4.4,4
amuse,4,4.2,4.0,3
mikes,6,5.4,7.8,6
theta,5,3.8,5.0,6
lemma,7,4.4,5.0,7
fille,6,5.4,5.0,5
tache,5,4.6,5.4,4
piggy,4,5.4,5.0,4
durum,4,4.0,4.6,3
eggar,7,4.2,5.0,10
isled,4,5.6,5.6,9
titan,3,5.0,4.8,4
mulls,7,7.4,6.0,8
wakes,9,7.2,7.6,9
cedes,6,5.2,4.2,4
inrun,4,4.0,3.8,4
forms,7,7.4,6.2,6
elemi,5,4.2,5.2,5
kelim,5,4.8,5.0,4
dopes,4,6.2,8.8,5
adapt,5,4.2,3.6,3
abyes,6,5.6,5.2,5
these,4,4.2,6.0,4
peaty,3,4.4,5.2,4
maxis,7,6.2,7.0,5
plumy,4,3.8,4.6,3
culex,5,5.2,5.8,4
goody,4,6.0,4.6,7
demos,4,4.4,5.8,5
rower,7,7.8,6.4,8
bunny,4,5.6,5.0,5
hyoid,5,4.0,4.8,6
taste,3,5.0,6.4,4
palet,2,4.6,6.0,3
godet,3,4.4,5.6,4
whale,7,4.6,4.4,6
spurt,4,5.0,4.6,3
feted,7,4.8,5.4,5
czars,6,5.2,7.4,7
rural,7,6.2,4.6,5
jihad,4,4.6,4.8,6
utter,5,5.6,5.0,3
irked,4,5.6,6.0,8
yecch,4,4.4,5.2,7
vower,6,5.4,6.8,7
eager,8,5.6,7.2,9
paisa,4,4.6,4.8,6
avoid,5,5.6,2.4,3
prank,4,6.0,5.8,5
denim,3,5.6,5.0,4
litas,3,4.6,4.6,4
plack,3,4.8,4.2,4
nails,3,5.4,10.6,5
ricin,4,4.4,4.4,3
skean,8,4.4,5.8,6
drown,4,4.4,4.4,4
hewed,6,5.8,5.8,7
drawl,4,5.2,4.6,5
merit,3,4.2,4.8,3
hokku,5,4.0,5.6,6
mamey,4,5.4,5.4,7
youse,8,5.4,6.0,8
payer,4,6.8,7.4,5
iotas,5,5.2,3.6,2
doggo,4,5.0,3.8,5
skate,4,4.6,4.8,5
snoot,6,4.6,5.6,7
linns,5,5.8,6.6,4
gabby,7,6.0,6.0,6
pandy,4,6.8,5.0,4
bassi,4,5.6,5.4,7
manna,5,6.2,4.6,4
raias,5,5.8,4.4,4
pleat,5,4.8,6.0,5
afore,5,6.0,4.0,4
ikons,4,4.4,5.4,6
brief,4,5.4,5.2,6
duras,4,4.2,4.2,2
grope,4,4.2,5.4,4
sharp,7,6.0,6.2,5
wimpy,5,4.2,4.8,5
jorum,6,4.4,4.6,7
horde,3,3.6,4.8,3
warns,8,6.2,5.6,7
trank,4,5.2,5.6,3
gript,5,4.4,5.0,4
false,5,5.6,6.0,5
hards,7,7.2,7.0,9
fezes,7,5.8,6.2,8
whoso,5,5.0,4.0,4
yanks,6,6.0,6.4,7
amber,5,3.8,4.6,5
kohls,5,5.2,5.6,6
rafts,3,6.0,6.6,4
tirls,3,3.8,4.8,3
coils,2,4.8,6.2,4
sikes,9,6.4,7.6,9
dotes,3,6.8,5.6,3
gable,5,4.4,3.8,5
slate,2,6.2,5.6,3
floes,3,4.2,6.0,9
sours,7,6.4,5.4,9
slush,4,4.0,5.4,4
coked,5,5.0,8.8,8
pride,4,4.0,5.0,3
elain,3,4.4,5.6,4
sabot,4,4.6,5.6,4
boody,5,6.0,6.2,5
stove,7,6.0,6.0,7
muter,5,6.2,4.6,5
imped,4,5.2,5.4,7
cards,4,5.0,5.8,6
posed,4,5.2,6.6,4
pardy,4,5.6,5.6,5
zooid,4,5.2,4.8,5
lakhs,6,5.0,6.0,5
vuggs,6,6.2,6.0,6
narks,5,5.6,6.8,5
retia,5,4.6,4.8,4
gaits,3,4.4,4.6,5
stimy,3,5.2,5.4,4
zines,11,7.2,8.2,12
wains,7,4.4,5.2,9
users,9,5.6,4.8,6
stewy,4,5.0,5.0,5
pappy,5,5.6,5.6,5
crown,5,6.2,6.2,4
menus,5,4.0,4.0,3
motor,5,4.6,4.8,4
igloo,4,4.4,4.4,8
hardy,5,4.6,4.8,6
grays,7,6.8,6.6,6
aliya,5,3.6,4.0,4
whets,6,5.8,5.0,7
bumfs,5,5.8,5.2,5
deals,3,6.0,5.4,3
tarry,4,4.6,5.8,4
lunks,4,5.6,5.0,5
recit,4,5.2,6.0,4
kroon,6,4.8,5.0,5
geese,5,4.8,4.4,4
taxer,8,5.4,7.2,9
foods,7,5.8,4.6,8
papas,5,6.4,7.2,5
feods,5,4.2,5.0,5
rider,8,6.8,4.2,3
aerie,3,5.6,4.8,3
valet,3,4.4,5.4,4
onset,4,5.4,5.0,4
hullo,3,5.0,4.4,5
burnt,4,4.4,4.2,4
sewed,5,4.8,5.0,4
scold,3,3.6,4.4,3
bosks,5,5.2,6.8,7
junto,5,4.4,3.6,5
copay,3,4.0,5.2,4
waist,4,4.8,6.2,6
serac,4,4.0,6.0,5
staff,6,5.4,5.6,6
segno,5,4.8,4.2,3
meson,6,5.4,5.2,5
poult,3,4.8,4.2,4
bendy,3,4.6,3.4,4
obeah,4,4.4,5.0,5
slubs,6,4.4,5.8,6
lunes,4,5.8,7.6,3
hotel,5,4.2,5.0,5
pries,5,5.2,4.8,5
jutes,7,6.2,5.4,7
tyers,3,5.4,4.8,3
axels,5,5.0,4.0,5
mouch,4,5.2,5.6,5
gadje,6,5.8,4.6,5
crash,5,3.6,4.8,5
foray,5,6.0,5.4,5
tilth,4,4.2,4.8,4
